Pair,Expiries,24h Maker Vol.,24h Range,24h Taker Vol.,24h Total Vol.,24h Percentage,Monthly Maker Vol.,Monthly Range,Monthly Taker Vol.,Monthly Total Vol.,Monthly Percentage
ADA-USDT,All,84373.6750000000061,30%-40%,0,84373.6750000000061,0.037193307643529584,3886835.1140000000243595,20%-30%,22020.6060000000008321,3908855.7200000000251916,0.073516996557721738
BCH-USDT,All,88617.983999999998014053,30%-40%,0,88617.983999999998014053,0.046629303442754203,2633362.861999999982963367,30%-40%,738.4,2634101.261999999982963367,0.052692901359643895
BTC-USDT,All,787314.815999999981140616,40%-50%,0,787314.815999999981140616,0.008545374222773159,93303409.355999999738049884,20%-30%,572210.787999999988751368,93875620.143999999726801252,0.021800787965799697
DOT-USDT,All,null,null,null,null,null,199195.908999999998488458,70%-75%,27656.071999999999664983,226851.980999999998153441,0.004070774430587747
ETH-USDT,All,786034.15,40%-50%,0,786034.15,0.01579043446513326,78622596.320000000073785801,20%-30%,410409.887999999998737631,79033006.208000000072523432,0.040723372333311355
FIL-USDT,All,78342.916699999997232841,30%-40%,0,78342.916699999997232841,0.027116333881655887,1527707.177899999956869822,20%-30%,608.99999999999999466,1528316.177899999956864482,0.065570702418126595
LTC-USDT,All,142222.719999999998891264,30%-40%,0,142222.719999999998891264,0.053070878986433213,5819218.710000000114239782,20%-30%,1616.319999999999936336,5820835.030000000114176118,0.063638563213584917
ADA-USDT,Weekly,3264.293000000000236,75%-100%,0,3264.293000000000236,0.014669318746892093,206811.7759999999997604,50%-60%,79.0379999999999971,206890.8139999999997575,0.048858839580636158
BCH-USDT,Weekly,8074.623999999999819068,60%-70%,0,8074.623999999999819068,0.031284389246973746,230676.897999999999689394,40%-50%,56.8,230733.697999999999689394,0.041310287120481664
BTC-USDT,Weekly,143369.055999999996565728,50%-60%,0,143369.055999999996565728,0.007199951186771615,5435622.551999999961408089,40%-50%,0,5435622.551999999961408089,0.007948428531894277
ETH-USDT,Weekly,null,null,null,null,null,3767.885999999999967258,75%-100%,0,3767.885999999999967258,0.000016138344916581
FIL-USDT,Weekly,12165.549399999999570438,40%-50%,0,12165.549399999999570438,0.020561297448847084,266828.929699999991670084,40%-50%,0,266828.929699999991670084,0.057141978483477553
LTC-USDT,Weekly,37012.879999999999711456,30%-40%,0,37012.879999999999711456,0.076379491805743497,1171074.590000000022301253,20%-30%,606.119999999999976126,1171680.710000000022277379,0.089868703227091546
ADA-USDT,BiWeekly,15602.214000000001128,30%-40%,0,15602.214000000001128,0.054524361948955916,361414.3250000000013986,20%-30%,0,361414.3250000000013986,0.110950201492422753
BCH-USDT,BiWeekly,13795.839999999999690847,40%-50%,0,13795.839999999999690847,0.065649739331917359,315791.181999999998763585,30%-40%,284,316075.181999999998763585,0.092581882378904009
BTC-USDT,BiWeekly,42524.71999999999898136,60%-70%,0,42524.71999999999898136,0.005095726869039819,4532388.054999999944775589,40%-50%,2299.854000000000087312,4534687.908999999944862901,0.00848147191232007
ETH-USDT,BiWeekly,28500.45,70%-75%,0,28500.45,0.006369426751592357,2292006.765000000033387653,40%-50%,1693.626000000000021828,2293700.391000000033409481,0.018073827078094871
FIL-USDT,BiWeekly,5773.59089999999979613,30%-40%,0,5773.59089999999979613,0.013451086956521739,114070.518399999996393122,40%-50%,0,114070.518399999996393122,0.099279082133364567
LTC-USDT,BiWeekly,14717.719999999999885264,50%-60%,0,14717.719999999999885264,0.050273768043802887,760603.720000000013386224,40%-50%,202.039999999999992042,760805.760000000013378266,0.087195260874769853
ADA-USDT,Quarterly,42159.174000000003048,20%-30%,0,42159.174000000003048,0.077509917607567897,1697194.6560000000163448,20%-30%,7940.5600000000002203,1705135.2160000000165651,0.070246383775418433
BCH-USDT,Quarterly,60620.543999999998641447,20%-30%,0,60620.543999999998641447,0.0454282847325691,1825626.951999999987731779,30%-40%,340.8,1825967.751999999987731779,0.051254239413077776
BTC-USDT,Quarterly,247858.367999999994062786,50%-60%,0,247858.367999999994062786,0.004980955171403457,57120087.001999999916551277,20%-30%,240176.402999999996063706,57360263.404999999912614983,0.023705870388869834
DOT-USDT,Quarterly,null,null,null,null,null,131593.50599999999919873,60%-70%,8819.829999999999920051,140413.335999999999118781,0.005411424209467247
ETH-USDT,Quarterly,407680.35,50%-60%,0,407680.35,0.01308584686774942,51982962.245000000096363334,30%-40%,122948.790999999999121435,52105911.036000000095484769,0.039203569763989986
FIL-USDT,Quarterly,32506.881199999998851708,30%-40%,0,32506.881199999998851708,0.031515623639769134,773278.518299999981229599,20%-30%,0,773278.518299999981229599,0.050899612722919568
