Pair,Expiries,24h Maker Vol.,24h Range,24h Taker Vol.,24h Total Vol.,24h Percentage,Monthly Maker Vol.,Monthly Range,Monthly Taker Vol.,Monthly Total Vol.,Monthly Percentage
ADA-USDT,All,68115.5579999999989456,40%-50%,0,68115.5579999999989456,0.049354053548024714,3954950.6720000000233051,20%-30%,22020.6060000000008321,3976971.2780000000241372,0.072902282177094038
BCH-USDT,All,119365.056000000004923051,20%-30%,0,119365.056000000004923051,0.060480441137650199,2752727.917999999987886418,30%-40%,738.4,2753466.317999999987886418,0.052988759140933269
BTC-USDT,All,2828994.765999999859922586,20%-30%,0,2828994.765999999859922586,0.021779610971710942,96132404.12199999959797247,20%-30%,572210.787999999988751368,96704614.909999999586723838,0.021800164178824883
DOT-USDT,All,null,null,null,null,null,199195.908999999998488458,70%-75%,27656.071999999999664983,226851.980999999998153441,0.003921723683635365
ETH-USDT,All,1477958.279999999993151995,30%-40%,0,1477958.279999999993151995,0.028346741254108019,80100554.600000000066937796,20%-30%,410409.887999999998737631,80510964.488000000065675427,0.040397921803954466
FIL-USDT,All,56513.531199999996464539,20%-30%,0,56513.531199999996464539,0.093283204054753607,1584220.709099999953334361,20%-30%,608.99999999999999466,1584829.709099999953329021,0.066273040032939372
LTC-USDT,All,163992.200000000013431292,30%-40%,0,163992.200000000013431292,0.046359694728374958,5983210.910000000127671074,20%-30%,1616.319999999999936336,5984827.23000000012760741,0.062995031566114512
ADA-USDT,Weekly,4341.2039999999999328,40%-50%,0,4341.2039999999999328,0.01603359419736591,211152.9799999999996932,50%-60%,79.0379999999999971,211232.0179999999996903,0.046885383149894054
BCH-USDT,Weekly,6599.232000000000272205,30%-40%,0,6599.232000000000272205,0.068993342747629615,237276.129999999999961599,40%-50%,56.8,237332.929999999999961599,0.041776493453458425
BTC-USDT,Weekly,164578.95999999999185088,50%-60%,0,164578.95999999999185088,0.0057745055579616,5600201.511999999953258969,40%-50%,0,5600201.511999999953258969,0.00786145186370505
ETH-USDT,Weekly,null,null,null,null,null,3767.885999999999967258,75%-100%,0,3767.885999999999967258,0.000015677145226873
